biased_sentence,biased_words,rephrase_possible,debiased_sentence
"According to Planned Parenthood office in Roanoke, Virginia, the abortion giant will continue to perform abortion services during the COVID-19 pandemic, claiming abortion is an “essential” medical service.","['abortion', 'essential']",yes,"According to the Planned Parenthood office in Roanoke, Virginia, the organization will continue to provide medical services, including abortion, during the COVID-19 pandemic, asserting that it is a necessary medical service."
"As banks leave low-income communities and jack up the cost of basic financial services such as checking accounts, many Americans instead have to rely on expensive and often predatory “fringe banking” institutions, such as check-cashing businesses, payday lenders and pawnshops.","['up', 'expensive', 'predatory', 'fringe', 'banking', 'jack']",yes,"As banks reduce their presence in low-income communities and increase the cost of basic financial services such as checking accounts, many Americans instead rely on alternative financial institutions, such as check-cashing businesses, payday lenders, and pawnshops."
"The “baby parts” debacle from a few years ago is another example of how the anti-choice movement is not a group sober-minded devout Christians who just love “life,” but in fact a bunch of fanatics who have contempt for the truth and think nothing of spinning wild stories and engaging in implausible thought-experiments in their efforts to smear feminists.","['spinning', 'fanatics', 'anti-choice', 'implausible']",yes,"The “baby parts” controversy from a few years ago is another example of how the anti-abortion movement is not just a group of devout Christians advocating for life, but rather a group that has been criticized for spreading misinformation and engaging in exaggerated claims to challenge feminist perspectives."
"Of all the pandering showcased during Democrats’ attempts to win back the presidency, wiping out student debt ranked at or near the top.",['pandering'],yes,"Of all the strategies used during Democrats’ attempts to win back the presidency, wiping out student debt ranked at or near the top."
"This would not be the first time Biden has been criticized for his ideas on combatting climate change, which – in the past – have paled in comparison to the ideas offered by ultra-progressive Sanders, who rolled out a massive $16 trillion Green New Deal plan this week.","['paled', 'ultra-progressive']",yes,"This would not be the first time Biden has been criticized for his ideas on combatting climate change, which – in the past – have been considered less ambitious compared to the ideas offered by Sanders, who rolled out a $16 trillion Green New Deal plan this week."
"Since the coronavirus pandemic began, emboldened pro-life groups have used the public health crisis to try to disrupt access to abortion.",['pro-life'],yes,"Since the coronavirus pandemic began, some anti-abortion groups have used the public health crisis to try to disrupt access to abortion."
"It probably has something to do with Pitlyk being a Federalist Society member, a former Brett Kavanaugh clerk, and a fierce opponent of reproductive rights who’s argued that fertility treatments and surrogacy have “grave” adverse effects on society.","['grave', 'fierce']",yes,"It probably has something to do with Pitlyk being a Federalist Society member, a former Brett Kavanaugh clerk, and an opponent of reproductive rights who’s argued that fertility treatments and surrogacy have significant adverse effects on society."
"Sanders praises the radical Green New Deal, champions a Medicare for All plan with a $34 trillion price tag, nods to abortion as a means of population control, and defends bread lines and Fidel Castro’s Cuba.",['radical'],yes,"Sanders praises the Green New Deal, champions a Medicare for All plan with a $34 trillion price tag, mentions abortion in the context of population control, and defends bread lines and Fidel Castro’s Cuba."
Debates about the viability of school voucher programs have focused in recent months on programs with lackluster or spotty academic records. But there’s another issue raised by the potential expansion of public financing for private schools: an exacerbation of segregation.,"['lackluster', 'spotty', 'exacerbation']",yes,Debates about the viability of school voucher programs have focused in recent months on programs with inconsistent or underwhelming academic records. But there’s another issue raised by the potential expansion of public financing for private schools: an increase in segregation.
"After witnessing the right-wing reaction to Greta Thunberg, the teenage climate activist from Sweden who spoke at the United Nations this week, there can be no doubt that modern-day conservatism, especially the Republican Party, functions primarily as a protection racket for the fragile egos of mediocre white men.","['egos', 'protection', 'racket', 'mediocre', 'fragile']",yes,"After witnessing the right-wing reaction to Greta Thunberg, the teenage climate activist from Sweden who spoke at the United Nations this week, there can be no doubt that modern-day conservatism, especially the Republican Party, functions primarily to protect the interests of certain groups."
Emilie Kao went on to note that women’s sports has already been undermined by the transgender movement.,['undermined'],yes,Emilie Kao went on to note that women’s sports has been impacted by the transgender movement.
"This is one of the reasons why our politics seems so stuck. Not only do we have a hard time talking to each other, the very structure of our elections doesn’t require our politicians to even try. And when you win by turning out the base, why risk appealing to anyone else? A broken system not only elects politicians who need not listen to everyone, it actually incentivizes them to govern that way too.","['stuck', 'broken', 'system', 'incentivizes']",yes,"This is one of the reasons why our politics appears to be at an impasse. Not only do we have difficulty engaging in meaningful conversations, but the structure of our elections doesn’t encourage politicians to seek broader support. When you win by focusing on your base, why risk appealing to others? A flawed system elects politicians who are not required to listen to everyone, and it may even encourage them to govern in that way."
"But director Nick Sweeney’s forthcoming documentary on McCorvey, “AKA Jane Roe,” contains a major bombshell: her conversion from abortion rights icon to born-again Christian abortion opponent was “all an act.”","['abortion', 'bombshell']",yes,"But director Nick Sweeney’s forthcoming documentary on McCorvey, “AKA Jane Roe,” reveals a significant detail: her shift from being an abortion rights advocate to a born-again Christian opponent of abortion was “all an act.”"
"Oscar-winning actor Leonardo DiCaprio is a vocal climate change activist, however, he has taken some heat in the past for his preference for fuel-guzzling private plane travel.",['fuel-guzzling'],yes,"Oscar-winning actor Leonardo DiCaprio is a vocal climate change activist; however, he has faced criticism in the past for his preference for private plane travel."
"This unholy, unscientific alliance of right-wingers, COVID-19 truthers and anti-vaxxers became very clear recently following the viral spread of an anti-COVID-19 propaganda movie called “Plandemic,” featuring disgraced scientist-turned-anti-vaxxer ...","['propaganda', 'unholy', 'unscientific', 'right-wingers', 'disgraced']",yes,"This alliance of individuals, including some right-wing supporters, COVID-19 skeptics, and anti-vaccine advocates, became very clear recently following the viral spread of an anti-COVID-19 movie called “Plandemic,” featuring a scientist-turned-anti-vaccine advocate ..."
"The cancellation of Olympic qualifying events wreaks havoc with athletes waiting to advance, organizers and federations forced to find new venues — not to mention disrupting hotel reservations, airplane flights, and ticket reservations.","['wreaks', 'havoc']",yes,"The cancellation of Olympic qualifying events causes significant disruption for athletes waiting to advance, organizers, and federations who are forced to find new venues — as well as affecting hotel reservations, airplane flights, and ticket reservations."
"Climate change, which is the subject of fierce debate, may lead to a ""substantial increase"" in the number of extreme rainstorms, according to a startling new study by NASA.","['startling', 'fierce']",yes,"The cancellation of Olympic qualifying events causes significant disruption for athletes waiting to advance, organizers, and federations who are forced to find new venues — as well as affecting hotel reservations, airplane flights, and ticket reservations."
"Donald Trump appeared to make some important news via Twitter last night, announcing a dramatic new plan to use Immigration and Customs Enforcement (ICE) agents to remove “millions” of people from American soil.",['dramatic'],yes,"Donald Trump appeared to make some important news via Twitter last night, announcing a new plan to use Immigration and Customs Enforcement (ICE) agents to remove “millions” of people from American soil."
"This is all great news. It now looks like we have a safe, highly effective vaccine that has the potential to significantly reduce many forms of cancer. So why is it also becoming a key target of many anti-vaxxers?",['great'],yes,"This is positive news. It now looks like we have a safe, highly effective vaccine that has the potential to significantly reduce many forms of cancer. So why is it also becoming a key target of many anti-vaxxers?"
"While falling short of calling half the nation “deplorable” as former Secretary of State Hillary Clinton did in 2016, the comments echo a deep disdain for a large population of the country increasingly perpetuated by left-wing elites in the wake of the George Floyd protests characterizing the U.S. as irredeemably racist.","['deep', 'disdain', 'left-wing']",yes,"While not labeling half the nation as ""deplorable"" as former Secretary of State Hillary Clinton did in 2016, the comments reflect strong criticism of a large portion of the population, which has become more common among certain political elites following the George Floyd protests, which characterized the U.S. as racially unjust."
"This is how Warren has pushed the boundaries of progressive policy since coming to Washington. Instead of relying on the traditional D.C. think tank world, she made her office into her very own think tank.",['pushed'],yes,"This is how Warren has expanded the scope of progressive policy since coming to Washington. Instead of relying on the traditional D.C. think tank world, she made her office into her very own think tank."
Harris is also pushing legislation that would dramatically expand the legal and financial incentives for hundreds of thousands of Indian low-wage college graduates to take U.S.-based jobs from U.S. college graduates.,"['dramatically', 'take', 'pushing']",yes,Harris is also advocating for legislation that would significantly expand the legal and financial incentives for hundreds of thousands of Indian low-wage college graduates to pursue U.S.-based jobs alongside U.S. college graduates.
"The looting and riots and fires in blue cities across the country today reaffirm that it is not “justice” but “war” that today’s radicals have in mind. From a moment that brought all Americans together in their sense of right and wrong, politicians and groups bent on destabilizing the nation chose division…and got their way.","['blue', 'cities', 'radicals', 'bent', 'destabilizing', 'war']",yes,"The looting, riots, and fires in various cities across the country today reaffirm that it is not “justice” but “conflict” that some protesters may have in mind. From a moment that brought all Americans together in their sense of right and wrong, politicians and groups seeking to influence the nation’s direction chose division…and got their way."
"Instead, they want to force women and their doctors to subject dying newborns to further horrific medical intervention, to needles and lights and loud voices and scalpels and machines that will only prolong the inevitable, only prolong their pain.","['horrific', 'force', 'inevitable', 'prolong']",yes,"Instead, they want to require women and their doctors to subject dying newborns to additional medical intervention, including needles, lights, loud voices, scalpels, and machines, which will only extend their suffering."
"Former Vice President Al Gore turned up the rhetorical heat during a conference in Atlanta on Thursday, where he warned that climate change could bring about the end of civilization.","['rhetorical', 'heat', 'end', 'of', 'civilization']",yes,"Former Vice President Al Gore increased the intensity of his message during a conference in Atlanta on Thursday, where he warned that climate change could lead to significant societal disruptions."
"Things look less promising in the U.S. Last week, the Environmental Protection Agency confirmed that the Trump administration had relaxed enforcement of regulations to help polluting industries deal with the pandemic.","['relaxed', 'polluting']",yes,"Things look less promising in the U.S. Last week, the Environmental Protection Agency confirmed that the Trump administration had adjusted enforcement of regulations to assist industries with dealing with the pandemic."
"Of course, the famously corrupted higher education sports market is a happy NFL partner and crime may pay after all, as it often does in the Trump league.","['Trump', 'league', 'famously', 'corrupted', 'crime']",yes,"Of course, the higher education sports market, often criticized for its issues, is a partner with the NFL, and some believe that unethical practices may still be rewarded in certain industries."
"For one thing, his plan would slash subsidized student loan repayment plans, and let the government crack down on missed payments. To left-wing politicians who think the state should hand out more subsidies, this might as well have been Armageddon.","['slash', 'crack', 'down', 'Armageddon', 'left-wing']",yes,"For one thing, his plan would reduce subsidized student loan repayment plans and allow the government to enforce penalties for missed payments. To politicians who believe in more government subsidies, this might be seen as a major setback."
Overwhelming evidence shows that vaccination — including the flu shot — is safe. And all major medical groups urge nearly everyone over age six months to get the yearly flu vaccine.,['Overwhelming'],yes,Strong evidence shows that vaccination — including the flu shot — is safe. And all major medical groups urge nearly everyone over age six months to get the yearly flu vaccine.
"When President Trump rolled out his recent budget proposal, it made some cuts that were always going to cause controversy. For one thing, his plan would slash subsidized student loan repayment plans, and let the government crack down on missed payments.","['always', 'crack', 'down', 'slash', 'controversy']",yes,"When President Trump rolled out his recent budget proposal, it included cuts that were expected to spark debate. For one thing, his plan would reduce subsidized student loan repayment plans and allow the government to enforce missed payments more strictly."
Proponents of these vaccines twist the Vatican’s words to sound like approval: The use of such vaccines...,['twist'],yes,Proponents of these vaccines interpret the Vatican’s words as approval: The use of such vaccines...
"However, social media watchdogs are foaming at the mouth over the choice to place a teen climate activist on a panel with public health experts.","['foaming', 'at', 'mouth', 'climate', 'activist']",yes,"However, social media watchdogs are strongly reacting to the choice to place a teen climate advocate on a panel with public health experts."
"In an era in which domestic terrorism is an increasingly deadly societal scourge, it’s dangerous when a sitting American president lies to rabid followers with tales of infants being executed in medical facilities.","['deadly', 'scourge', 'dangerous', 'lies', 'rabid', 'tales', 'executed', 'societal', 'followers']",yes,"In an era in which domestic terrorism is a growing concern, it is problematic when a sitting American president spreads false information to his supporters about infants being killed in medical facilities."
"Coach Guerrier adds that the referee’s continued mid-game scrutiny ultimately made “a spectacle” of her daughter, and that he continued to insist that something would have to be done as the child grows up and continues to compete in the sport.","['spectacle', 'scrutiny']",yes,"Coach Guerrier adds that the referee’s ongoing attention during the game ultimately drew unnecessary focus to her daughter, and that he continued to insist that something would need to be addressed as the child grows up and continues to compete in the sport."
"A 10-hour hearing broadcast on the court’s website showed Sun, China's greatest ever swimmer, and one of its biggest sports stars, to be evasive at times under questioning that was hampered by severe translation issues between Chinese and English.","['evasive', 'greatest', 'ever']",yes,"A 10-hour hearing broadcast on the court’s website showed Sun, one of China's top swimmers and sports stars, to be unclear at times under questioning that was hampered by severe translation issues between Chinese and English."
"After President Donald Trump’s news conference on a positive jobs report Friday morning, the mainstream media contorted a quote from the president to falsely convey he thinks George Floyd is happy about the jobs numbers.","['contorted', 'falsely']",yes,"A 10-hour hearing broadcast on the court’s website showed Sun, one of China's top swimmers and sports stars, to be unclear at times under questioning that was hampered by severe translation issues between Chinese and English."
"But, yeah, good work each and every one of you reporters who made this fake story something to waste time on this week. You’re all hacks.","['fake', 'story', 'hacks']",yes,"But, yeah, good work each and every one of you reporters who made this story something to focus on this week. You're all misguided."
"Sen. Elizabeth Warren, D-Mass., Thursday released a sweeping immigration plan that would dramatically increase the number of refugee admissions by nearly 800 percent from FY 2018 and 250 percent from the Obama years.",['dramatically'],yes,"Sen. Elizabeth Warren, D-Mass., Thursday released a sweeping immigration plan that would significantly increase the number of refugee admissions by nearly 800 percent from FY 2018 and 250 percent from the Obama years."
"Democrats are gearing up to turn abortion into a key issue for the 2020 elections, saying it could turn out to be an issue that mirrors the fight to preserve the Affordable Care Act in 2018.","['key', 'issue', 'abortion']",yes,"Democrats are preparing to make abortion a prominent topic in the 2020 elections, suggesting it could become a central focus similar to the fight to preserve the Affordable Care Act in 2018."
"But so many anti-vaxxers add selfishness to their faults and put innocent children, who because of age or immune system deficiencies cannot be vaccinated, in danger.","['anti-vaxxers', 'selfishness']",yes,"But many individuals who oppose vaccinations put children, who due to age or immune system deficiencies cannot be vaccinated, at risk."
"The American Petroleum Institute's (API's) estimates were released two days before South Carolina's Democratic primary, where the candidates will compete with platforms that push aggressive agendas on energy and the environment.",['aggressive'],yes,"The American Petroleum Institute's (API's) estimates were released two days before South Carolina's Democratic primary, where the candidates will compete with platforms that focus on energy and environmental policies."
"Last summer, the Republican White House announced plans to roll back the tougher standards, making it easier for the automotive industry to sell less efficient vehicles that pollute more.",['efficient'],yes,"Last summer, the Republican White House announced plans to roll back the tougher standards, making it easier for the automotive industry to sell vehicles with lower fuel efficiency that produce more pollution."
Climate Wunderkind Greta Thunberg has garnered gushing praise from celebrities during her environmental crusade.,"['Wunderkind', 'gushing', 'crusade', 'praise']",yes,Climate activist Greta Thunberg has received widespread support from celebrities during her environmental efforts.
And his demagoguery around the Central American immigrant caravans and asylum-seekers continually obscure the fact that asking for asylum is an entirely legal form of immigration — even though Trump and his defenders now like to call it a “loophole.”,"['demagoguery', 'obscure']",yes,And his rhetoric around the Central American immigrant caravans and asylum-seekers often distracts from the fact that asking for asylum is a legal form of immigration — even though Trump and his defenders now like to call it a “loophole.”
"Sen. Bernie Sanders’ (I-VT) immigration plan, which opens the border to all foreign nationals, was drafted by a handful of illegal alien staffers.","['illegal', 'alien']",yes,"Sen. Bernie Sanders’ (I-VT) immigration plan, which proposes to allow all foreign nationals to enter, was drafted by a handful of undocumented staffers."
Oprah Schools Instagram Hater With Receipts After Student Loan Diss,"['Schools', 'Hater', 'Diss']",yes,Oprah responds to an Instagram user with evidence after a comment about student loans.
"First Joe Biden said he still supported the Hyde Amendment, which prohibits taxpayer funding of most abortions, , then changed his position one day later, after tremendous political pressure from farther-left Democrats.","['tremendous', 'farther-left']",yes,"First Joe Biden said he still supported the Hyde Amendment, which prohibits taxpayer funding of most abortions, then changed his position one day later, after significant political pressure from more liberal Democrats."
Drowned out by the algorithm: Vaccination advocates struggle to be heard online,"['Drowned', 'out', 'struggle']",yes,Overpowered by the algorithm: Vaccination advocates face challenges in gaining attention online.
"President Donald Trump sparked ire on Tuesday after he spread yet another conspiracy theory, this time about wind farms.","['conspiracy', 'theory', 'sparked', 'ire']",yes,President Donald Trump caused controversy on Tuesday after discussing a claim about wind farms.
"Yet the drumbeat for censorship goes on as the politicians whose ideas find favor with the mainstream media want to make sure theirs are the only ideas you ever get to hear. Today it will be about money, but only because money is the means to spread ideas.","['mainstream', 'media', 'censorship', 'drumbeat']",yes,"Yet the push for regulation continues as the politicians whose ideas align with major media outlets want to ensure their ideas are prominently featured. Today it will be about money, but only because money is the means to spread ideas."
"Women’s rights advocates were relieved late Monday when Senate Democrats blocked an extreme anti-choice bill from advancing to a floor debate—but were soon outraged by President Donald Trump’s lies about abortion care, as well as the corporate media for enabling his blatantly false characterization of the bill to stand.","['extreme', 'anti-choice', 'outraged', 'blatantly', 'false']",yes,"Women’s rights advocates were relieved late Monday when Senate Democrats blocked a bill that would restrict abortion access from advancing to a floor debate—but were soon concerned by President Donald Trump’s misrepresentation of abortion care, as well as the media for allowing his inaccurate characterization of the bill to stand."
"Merril Hoge, one of the most outspoken critics against the alarm surrounding CTE studies, also underscored that, from his lens, demonizing sports like football does more harm to American children than good.",['demonizing'],yes,"Merril Hoge, one of the most outspoken critics against the alarm surrounding CTE studies, also underscored that, from his perspective, criticizing sports like football does more harm to American children than good."
The fact that the abortion rate among American blacks is far higher than the rate for whites is routinely chronicled and mourned.,"['chronicled', 'mourned']",yes,The fact that the abortion rate among American blacks is far higher than the rate for whites is routinely documented and discussed.
"After tremendous pressure on the Department of Homeland Security, Miller is advancing his agenda of not just blocking migrants from entering the country illegally, but making life in the U.S. so unbearable for legal immigrants that they leave the country.","['agenda', 'unbearable', 'tremendous']",yes,"After significant pressure on the Department of Homeland Security, Miller is advancing his efforts to not only block migrants from entering the country illegally, but also to make life in the U.S. difficult for legal immigrants, encouraging them to leave."
Many of the U.S. Border Patrol agents on the front lines of the U.S. effort to secure the southern border with Mexico bristle at what they see as public misconceptions and media mischaracterization of their work.,"['bristle', 'mischaracterization']",yes,Many of the U.S. Border Patrol agents on the front lines of the U.S. effort to secure the southern border with Mexico disagree with what they see as public misconceptions and media portrayals of their work.
"Never before have the freewheeling inclinations of some Electoral College members flipped an election, so the impact of the high court's decision may be just mathematical.",['freewheeling'],yes,"Never before have the unpredictable inclinations of some Electoral College members flipped an election, so the impact of the high court's decision may be just mathematical."
"On one hand, naive teenagers who signed off their financial futures to leftist, anti-American institutions would catch a break. The college cartel screwed you; now here’s a government waiver to make you forever grateful to the Democrats.","['leftist', 'naive', 'anti-American', 'screwed']",yes,"On one hand, young people who committed to their financial futures in institutions with strong political leanings would benefit. The college system took advantage of you; now here’s a government waiver to make you grateful to the Democrats."
"Father Horan was one of the many voices from the Catholic Left who joined the mainstream media lynching of students from Covington Catholic High School this weekend, rashly judging them as racists without bothering to ascertain what actually happened, simply because some of the boys were wearing MAGA hats.","['lynching', 'rashly', 'judging']",yes,"Father Horan was one of the many voices from the Catholic Left who joined the mainstream media criticism of students from Covington Catholic High School this weekend, quickly labeling them as racists without taking the time to understand the full context, simply because some of the boys were wearing MAGA hats."
Trump attacking wind power is nothing new.,['attacking'],yes,Trump criticizing wind power is nothing new.
"There are no more major cases against the NCAA proceeding currently, but Wilken has slowly eroded some of the NCAA’s favorite arguments and restrictions.","['eroded', 'favorite']",yes,"There are no more major cases against the NCAA proceeding currently, but Wilken has gradually weakened some of the NCAA’s commonly used arguments and restrictions."
"In the case of student debt cancellation, they also force people to make painful choices: Does a young couple put off getting married to get their student debt reduced? Do they wait another year before taking good jobs, so that they qualify? Must a struggling young person stay away from his parents’ home and couch-surf for a year to obtain the benefit?",['painful'],yes,"In the case of student debt cancellation, they also force people to make difficult choices: Does a young couple put off getting married to get their student debt reduced? Do they wait another year before taking good jobs, so that they qualify? Must a struggling young person stay away from his parents’ home and couch-surf for a year to obtain the benefit?"
"Of course, social distancing will be inconceivable for football players and the results all too predictable in a world in which Covid-19 is likely to hang around for a long, long time.","['inconceivable', 'predictable']",yes,"Of course, social distancing will be challenging for football players and the results likely to follow in a world in which Covid-19 is expected to persist for a long time."
Many are mocking the president’s astonishing lack of understanding about even the most basic concepts of vaccines and how drug tests on them are performed.,['astonishing'],yes,Many are criticizing the president’s lack of understanding about even the most basic concepts of vaccines and how drug tests on them are performed.
"The Democratic Party’s electorate is less enthusiastic about the 2020 election than their Republican counterparts, according to a HuffPost/YouGov survey, a split in attitudes that existed before the coronavirus pandemic caused voters of all ideological and partisan stripes to become less gung-ho about casting ballots in November.",['gung-ho'],yes,"The Democratic Party’s electorate is less enthusiastic about the 2020 election than their Republican counterparts, according to a HuffPost/YouGov survey, a split in attitudes that existed before the coronavirus pandemic caused voters of all ideological and partisan stripes to become less eager about casting ballots in November."
"Sen. Elizabeth Warren's radical immigration plans involves decriminalizing illegal immigration, increasing legal immigration, and ending all detention of illegal aliens, minus those deemed to be “a flight or safety risk.”",['radical'],yes,"Sen. Elizabeth Warren's immigration plans involve decriminalizing illegal immigration, increasing legal immigration, and ending all detention of undocumented immigrants, minus those deemed to be “a flight or safety risk.”"
"Though Trump has not been as outspoken on vaccines as president as he was in the past, he has repeatedly falsely suggested that vaccines cause autism.",['falsely'],yes,"Though Trump has not been as outspoken on vaccines as president as he was in the past, he has repeatedly claimed that vaccines cause autism."
"In a part of the country where the rules about who can access abortion care vary dramatically from state to state, the COVID-19 pandemic has sewn another layer of confusion.","['dramatically', 'abortion']",yes,"In a part of the country where the rules about who can access reproductive care vary significantly from state to state, the COVID-19 pandemic has added another layer of confusion."
"Thunberg lambasted business and political elites gathered at WEF Tuesday for not doing enough to tackle climate change, warning that time was running out.","['time', 'running', 'out']",yes,"Thunberg criticized business and political elites gathered at WEF Tuesday for not doing enough to address climate change, emphasizing the urgency of the situation."
The argument that the real way to end abortion is to make abortion unnecessary by establishing a generous cradle-to-grave welfare state salves left-wing Christians' consciences for their support of radically pro-abortion politicians like Sen. Bernie Sanders.,"['pro-abortion', 'politicians']",yes,"The argument that the way to reduce abortion is by making it unnecessary through a generous welfare state addresses the concerns of some Christians who support politicians like Sen. Bernie Sanders, who advocate for expanded reproductive rights."
The ideas promoted by anti-vaccination groups — which rely on pseudoscience and conspiracy theories about the government and pharmaceutical companies — are false.,"['pseudoscience', 'conspiracy', 'theories']",yes,The ideas promoted by some anti-vaccination groups — which are based on unverified information and claims about the government and pharmaceutical companies — are inaccurate.
"Liberal economist and New York Times opinion writer Paul Krugman, in a scathing column this week, warns that extreme events like the wildfires that have been devastating Australia are a preview of things to come — and he stresses that right-wing politicians who deny the reality of climate change are as great a threat as the events themselves.",['scathing'],yes,"Liberal economist and New York Times opinion writer Paul Krugman, in a critical column this week, warns that extreme events like the wildfires that have been devastating Australia are a preview of things to come — and he stresses that right-wing politicians who deny the reality of climate change are as great a threat as the events themselves."
Racist Rep. Steve King (R-Iowa) said generations of people would not be here without rape and incest while making the case for anti-abortion legislation without exceptions for victims of those crimes.,['Racist'],yes,Rep. Steve King (R-Iowa) said generations of people would not be here without rape and incest while making the case for anti-abortion legislation without exceptions for victims of those crimes.
"Trump used to say that Mexico will pay for the wall, but since that is impossible, he has endorsed the bizarre claim that the wall will pay for itself.",['bizarre'],yes,"Trump used to say that Mexico will pay for the wall, but since that is impossible, he has endorsed the claim that the wall will pay for itself."
"In Philadelphia, there were also reports that the city was ignoring social distancing standards by cramming their new voting machines (one per jurisdiction) into multi-precinct voting locations, which forced voters and poll workers to stand on top of each other.","['forced', 'cramming']",yes,"In Philadelphia, there were also reports that the city was ignoring social distancing standards by placing their new voting machines (one per jurisdiction) into multi-precinct voting locations, which required voters and poll workers to stand very close to each other."
"President Donald Trump surprised reporters at the White House briefing room on Thursday, continuing his demand for wall funding.","['demand', 'surprised']",yes,"President Donald Trump addressed reporters at the White House briefing room on Thursday, reiterating his request for wall funding."
"Now, the data shows there is an aftershock in the form of the looming tsunami of student debt defaults that will hit communities of color the hardest, according to data compiled by the National Center for Education Statistics and Demos, a progressive think tank.","['looming', 'tsunami']",yes,"Now, the data shows there is an aftershock in the form of rising student debt defaults that will disproportionately impact communities of color, according to data compiled by the National Center for Education Statistics and Demos, a progressive think tank."
"While the majority of Americans seem to accept scientific information about the deadly coronavirus and are wary of reopening the country before we can be sure it’s safe, one segment of the population is driving the opposite narrative. This group is small but vocal, and represents a predictable if threatening merging of forces.",['threatening'],yes,"While the majority of Americans seem to accept scientific information about the deadly coronavirus and are wary of reopening the country before we can be sure it’s safe, one segment of the population is driving the opposite narrative. This group is small but vocal, and represents a predictable merging of forces."
"Since Roe v. Wade, when the Supreme Court recognized the constitutional right to an abortion, state lawmakers have devised novel ways to cut off access to the procedure without banning it outright. One strategy is to require clinics and doctors to comply with an ever-expanding list of regulations, with the goal of essentially red-taping providers out of business.","['red-taping', 'ever-expanding']",yes,"Since Roe v. Wade, when the Supreme Court recognized the constitutional right to an abortion, state lawmakers have devised novel ways to limit access to the procedure without banning it outright. One strategy is to require clinics and doctors to comply with a growing list of regulations, with the goal of essentially limiting providers' ability to operate."
"A three-year-old girl in China’s Jiangsu province died after receiving a rabies vaccination last month, an ominous development in light of persistent scandals over low-quality and improperly-handled vaccines.","['improperly-handled', 'ominous']",yes,"A three-year-old girl in China’s Jiangsu province died after receiving a rabies vaccination last month, a concerning event in light of ongoing issues with low-quality and mishandled vaccines."
Democrats have seethed as they helplessly watched the Trump administration undo or block a slew of Obama-era environmental proposals during the past two years.,"['helplessly', 'seethed']",yes,Democrats have expressed frustration as they watched the Trump administration undo or block several Obama-era environmental proposals during the past two years.
"Despite achieving a historic position of leadership in the highest level of national football, Sowers said she experienced LGBTQ discrimination in sports while in college, when was rejected from a volunteer coaching job because of her “lifestyle.”",[],no,"Despite achieving a historic position of leadership in the highest level of national football, Sowers said she experienced LGBTQ discrimination in sports while in college, when she was rejected from a volunteer coaching job because of her ""lifestyle."""
"The damages bankruptcy inflicts on debtors looks appealing to the twenty percent who say they’ll be in debt until they die. Obama’s proposed change could start a run that would greatly increase costs to the federal government and, by extension, taxpayers.","['increase', 'appealing', 'greatly']",yes,"The damages bankruptcy inflicts on debtors looks concerning to the twenty percent who say they’ll be in debt until they die. Obama’s proposed change could start a run that would significantly raise costs to the federal government and, by extension, taxpayers."
"Their work came on the heels of an IPCC report that warned of dire environmental, economic and health consequences in the absence of any serious momentum toward decarbonization by 2030.",['dire'],yes,"Their work came on the heels of an IPCC report that warned of significant environmental, economic, and health consequences in the absence of any serious momentum toward decarbonization by 2030."
The doctors note that continuing abortions – some of which are likely to develop complications – place greater stress on a healthcare system that is under tremendous pressure at the current time.,"['tremendous', 'pressure']",yes,The doctors note that continuing abortions – some of which are likely to develop complications – place greater stress on a healthcare system that is currently facing significant challenges.
"And while states like Massachusetts—among others—automatically cancel debt if a borrower dies or becomes disabled, New Jersey has chosen a different path, encouraging students to buy life insurance to cover their debt and take co-signers off the hook in the event of a tragedy",[],no,"And while states like Massachusetts—among others—automatically cancel debt if a borrower dies or becomes disabled, New Jersey has chosen a different path, encouraging students to buy life insurance to cover their debt and take co-signers off the hook in the event of a tragedy"
"Trump, who has been critical of the Iraq war, in a tweet called Powell “a real stiff.” Powell is the latest former top military officer to rebuke Trump in the wake of sweeping mass protests aimed at fighting racial injustice spurred by the May 25 death of an unarmed black man in Minnesota.",['rebuke'],yes,"Trump, who has been critical of the Iraq war, in a tweet called Powell “a real stiff.” Powell is the latest former top military officer to criticize Trump in the wake of sweeping mass protests aimed at fighting racial injustice spurred by the May 25 death of an unarmed black man in Minnesota."
"In a September executive order, President Donald Trump gave states and local governments the right to reject refugees, but instead of saying no, most state and local officials have blindsided the administration by opting in, according to two former officials familiar with the matter.",['blindsided'],yes,"In a September executive order, President Donald Trump gave states and local governments the right to reject refugees, but instead of saying no, most state and local officials have surprised the administration by opting in, according to two former officials familiar with the matter."
"This group is small but vocal, and represents a predictable if threatening merging of forces.",['threatening'],yes,"This group is small but vocal, and represents a predictable merging of forces."
"Trump likes to tell this story with vivid and completely made-up details about swaddling a baby in blankets before murdering it. The Senate held hearings in which anti-choice activist Jill Stanek — a crazed, racist liar who also claims Chinese people think aborted fetuses are a “delicacy” — claimed, almost certainly falsely, that she once witnessed a baby being killed this way.","['made-up', 'murdering', 'crazed', 'racist', 'liar', 'delicacy', 'anti-choice']",yes,"Trump likes to tell this story with exaggerated details about swaddling a baby in blankets before ending its life. The Senate held hearings in which activist Jill Stanek — who also made controversial claims about Chinese people’s views on aborted fetuses — claimed, almost certainly falsely, that she once witnessed a baby being killed this way."
