biased_sent,debiased_sent,model_output
"In January 2014 he was heavily criticized in the Guardian for his involvement in creating an Islamist backlash against Maajid Nawaz for posting a single "" Jesus & Mo "" image on twitter .","In January 2014 he was criticized for his involvement in creating an Islamist backlash against Maajid Nawaz for posting a single "" Jesus & Mo "" image on twitter .","In January 2014 he was criticized in the Guardian for his involvement in creating an Islamist backlash against Maajid Nawaz for posting a single "" Jesus & Mo "" image on twitter ."
"The Coach has a pathetic life , and is probably the most disturbed character in the series .",Coach Z is probably the most disturbed character in the series .,"The Coach has a troubled life , and is probably the most disturbed character in the series ."
"Arbitrarily named after Robert Fisk , a British journalist who was a frequent early target of such treatment .","Named after Robert Fisk , a British journalist who was a frequent ( and deserving ) early target of such treatment .","Arbitrarily named after Robert Fisk , a British journalist who was a frequent early target of such treatment ."
Succesful Chinese recovery of Northeast Korea,Chinese recovery of Northeast Korea,Chinese recovery of Northeast Korea
"The Finnish Broadcasting Company Yle , quoting Timo Vihavainen , a famous opponent of Bckman , speculated that this has happened due to fact that Bckman 's opinions match the interests of the Kremlin .","The Finnish Broadcasting Company Yle , quoting Timo Vihavainen , a professor of Russian history , speculated that this has happened due to fact that Bckman 's opinions match the interests of the Kremlin .","The Finnish Broadcasting Company Yle , quoting Timo Vihavainen , a famous opponent of Bckman , speculated that this has happened due to fact that Bckman 's opinions match the interests of the Kremlin ."
Ayyadurai has accused Senator Warren of voting in favor of the Monsanto Protection Act and against a GMO labeling bill sponsored by Senator Bernie Sanders .,Ayyadurai has accused Senator Warren of voting in favor of the Farmer Assurance Provision and against a GMO labeling bill sponsored by Senator Bernie Sanders .,Ayyadurai has accused Senator Warren of voting in favor of the Monsanto Protection Act and against a GMO labeling bill sponsored by Senator Bernie Sanders .
The band are notable for producing punky garage rock songs and for wearing matching black and white suits .,The band produces punky garage rock songs and wears matching black and white suits .,The band are notable for producing punky garage rock songs and for wearing matching black and white suits .
Phil Collins is also regarded by many as a major sell out .,Phil Collins is also regarded by many as a sell out .,Phil Collins is regarded by many as a major sell out .
"Report of ( so called ) Srebrenica Research Group , concludes that "" both the scale of the casualties at Srebrenica and the context of events have been misrepresented . ""","Report of the Srebrenica Research Group , concludes that "" both the scale of the casualties at Srebrenica and the context of events have been misrepresented . ""","Report of ( so called ) Srebrenica Research Group , concludes that "" both the scale of the casualties at Srebrenica and the context of events have been misrepresented ."
"Shusha , also known as Shushi is a town in the region of Nagorno-Karabakh a de facto independent republic in the South Caucasus .","Shusha , also known as Shushi is a town in the disputed region of Nagorno-Karabakh in the South Caucasus .","Shusha , also known as Shushi is a town in the region of Nagorno-Karabakh a de facto independent republic in the South Caucasus ."
"First , if the number of witnesses of the miracle be greater than the number of witnesses of the operation of the law , and secondly , if a witness be 100 % reliable ( for then no amount of contrary testimony will be enough to outweigh hers ) .","First , if the number of witnesses of the miracle be greater than the number of witnesses of the operation of the law , and secondly , if a witness be 100 % reliable ( for then no amount of contrary testimony will be enough to outweigh that person 's account ) .","First , if the number of witnesses of the miracle be greater than the number of witnesses of the operation of the law , and secondly , if a witness be 100 % reliable ( for then no amount of contrary testimony will be enough to outweigh hers ) ."
"For a short period in 1942 , he became Chief of Staff of the First Area Army ( Manchuria ) .","During 1942 , he became Chief of Staff of the First Area Army ( Manchuria ) .","For a short period in 1942 , he became Chief of Staff of the First Area Army ( Manchuria ) ."
"Travel is most commonly done for recreation or to visit people ( generally as part of tourism ) , for business or for commuting ; but may occur for numerous other reasons , such as to obtain health care , migration , fleeing war , etc .","Travel can be for recreation al purposes , for tourism , to visit people , for business or for commuting , and may occur for numerous other reasons , such as to obtain health care , migration , fleeing war , etc .","Travel is most commonly done for recreation or to visit people ( generally as part of tourism ) , for business or for commuting ; but may occur for numerous other reasons , such as to obtain health care , migration , fleeing war , etc ."
"Trainman duties consisted partly in inspecting the train as it ran looking for smoke , sparks or fire with the audible report "" All Black , "" to mean the train was not giving off any light energy that would indicate combustion or destruction of the wheel bearings .","Train worker duties consisted partly in inspecting the train as it ran looking for smoke , sparks or fire with the audible report "" All Black , "" to mean the train was not giving off any light energy that would indicate combustion or destruction of the wheel bearings .","Trainman duties consisted partly in inspecting the train as it ran looking for smoke , sparks or fire with the audible report "" All Black , "" to mean the train was not giving off any light energy that would indicate combustion or destruction of the wheel bearings ."
"He meets up with a lost love who is terminally ill , and at her passing we are thrust into the second half of the film where Edgar meets with her at her grandparent 's house two years before .","He meets up with a lost love who is terminally ill , and at her death we are thrust into the second half of the film where Edgar meets with her at her grandparent 's house two years before .","He meets up with a lost love who is terminally ill , and at her passing we are thrust into the second half of the film where Edgar meets with her at her grandparent 's house two years before ."
"The National Institute of Standards and Technology ( NIST ) has rejected the assumption that collapse due to fire would be impossible , as has the engineering community .","The National Institute of Standards and Technology ( NIST ) has rejected the idea that collapse due to fire would be impossible , as has the engineering community .","The National Institute of Standards and Technology ( NIST ) has rejected the assumption that collapse due to fire would be impossible , as has the engineering community ."
Indian occupied Baltistan ( the district of Kargil ) which is disputed and claimed by Pakistan is located in the north of the Indian administered Kashmir Jammu and Kashmir .,Indian -controlled Baltistan ( the district of Kargil ) which is disputed and claimed by Pakistan is located in the north of the Indian administered Kashmir Jammu and Kashmir .,Indian occupied Baltistan ( the district of Kargil ) which is disputed and claimed by Pakistan is located in the north of the Indian administered Kashmir Jammu and Kashmir .
"The group is often quoted by British news media in stories about road safety measures , motoring taxation , road infrastructure provision , and other motoring related issues .","It is occasionally quoted by British news media in stories regarding road safety , motoring taxation , road infrastructure provision and other related issues .","The group is often quoted by British news media in stories about road safety measures , motoring taxation , road infrastructure provision , and other motoring related issues ."
The T-44 is a first-generation medium tank first produced near the end of the World War II by the Soviet Union ; it is the successor to the famous T-34 .,"The T-44 is a first-generation medium tank first produced near the end of the World War II by the Soviet Union , and is the successor to the T-34 .",The T-44 is a first-generation medium tank first produced near the end of the World War II by the Soviet Union ; it is the successor to the T-34 .
"It was also ruled that the arrest of Gray was false imprisonment , because he was carrying a pocket knife of legal size , and not the switchblade police claimed he had possessed at the time of his arrest .","Mosby also charged that the arrest of Gray was false imprisonment , because he was carrying a pocket knife of legal size , and not the switchblade police claimed he had possessed at the time of his arrest .","It was also ruled that the arrest of Gray was false imprisonment , because he was carrying a pocket knife of legal size , and not the switchblade police claimed he had possessed at the time of his arrest ."
"Her gorgeous , intimate songs and relaxed stage presence gained her notoriety and new fans .",Her intimate songs and relaxed stage presence gained her notoriety and new fans .,"Her gorgeous , intimate songs and relaxed stage presence gained her notoriety and new fans ."
Boycotts of Israel are a series of economic and political campaigns designed to weaken and isolate the State of Israel in the course of the Arab-Israeli conflict and the Israeli-Palestinian conflict .,Boycotts of Israel are a series of economic and political campaigns against the State of Israel in the course of the Arab-Israeli conflict and the Israeli-Palestinian conflict .,Boycotts of Israel are a series of economic and political campaigns designed to weaken and isolate the State of Israel in the course of the Arab-Israeli conflict and the Israeli-Palestinian conflict .
The rioting spread to the Jewish commercial area of town .,The demonstrations spread to the Jewish commercial area of town .,The rioting spread to the Jewish commercial area of town .
"Although the base design was unchanged ( the addition of SSE instructions was at that time of no performance significance ) , Intel 's new production process allowed slightly higher clockspeeds , and it became difficult to determine which part was , all things considered , the faster one .","Although the base design was unchanged ( except mainly from the addition of SSE instructions and a hardware serial number ) , Intel 's new production process allowed slightly higher clockspeeds , and it became difficult to determine which part was , all things considered , the faster one .","Although the base design was unchanged ( the addition of SSE instructions was at that time of no performance significance ) , Intel 's new production process allowed slightly higher clockspeeds , and it became difficult to determine which part was , all things considered , the faster one ."
Tofurkey is ideal as the main dish of a formal meal for people who have ethical reasons to abstain from eating meat .,Tofurkey can serve as the main dish of a formal meal for people who abstain from eating meat .,Tofurkey is ideal as the main dish of a formal meal for people who have ethical reasons to abstain from eating meat .
Michael Silvers is an Academy Award winning sound editor who has often worked with Pixar .,Michael Silvers is a sound editor who has often worked with Pixar .,Michael Silvers is a sound editor who has often worked with Pixar .
"Relative to many other public and private universities , the University of Virginia has minimal red tape , paperwork , or bureaucracy .","Relative to many other public and private universities , the University of Virginia has minimal bureaucracy .","Relative to many other public and private universities , the University of Virginia has minimal red tape , paperwork , or bureaucracy ."
"Pat is the son of radio host Steve Dahl , Jay 's former co-worker and occasional antagonist .","Pat is the son of radio host Steve Dahl , Jay 's former co-worker .","Pat is the son of radio host Steve Dahl , Jay 's former co-worker ."
"Quetiapine has multiple side effects , some of them common , a few of them serious and life-threatening .","Quetiapine has multiple side effects , some of them common , a few of them rare but both serious and possibly even life-threatening .","Quetiapine has multiple side effects , some of them common , a few of them serious and life-threatening ."
"Butcher took many interviews , dominating major TV stations and newspapers , with claims that Maradona was a cheat and a liar and how happy he would be to see Maradona lose .","Butcher said in interviews that Maradona was a cheat and a liar , and he would be happy to see him lose .","Butcher took many interviews , dominating major TV stations and newspapers , with claims that Maradona was a cheat and a liar and how happy he would be to see Maradona lose ."
"Each item can be linked to one or more "" folders "" ( by manual assignment , basic text matching , or with a free 'addon extension ' by complex regular expression , relational lookup , computational , and even Lua , Perl , JavaScript , VBScript , or Python programmatic assignments ) which function as a fields in a database .","Each item can be linked to one or more "" folders "" ( by manual assignment , basic text matching , or with a free 'addon extension ' by complex regular expression , relational lookup , computational , and Lua , Perl , JavaScript , VBScript , or Python programmatic assignments ) which function as a fields in a database .","Each item can be linked to one or more "" folders "" ( by manual assignment , basic text matching , or with a free 'addon extension ' by complex regular expression , relational lookup , computational , and even Lua , Perl , JavaScript , VBScript , or Python programmatic assignments ) which function as a fields in a database ."
"It is not unusual , when the first surname is very common , like Garca in the example above , for a person to be referred to formally using both family names , or casually by his or her second surname only .","It is not unusual , when the first surname is very common , like Garca in the example above , for a person to be referred to formally using both family names , or casually by their second surname only .","It is not unusual , when the first surname is very common , like Garca in the example above , for a person to be referred to formally using both family names , or casually by his or her second surname only ."
BitTornado is based off the original BitTorrent code with a few enhancements and is much better than most .,BitTornado is based off the original BitTorrent code with a few enhancements .,BitTornado is based off the original BitTorrent code with a few enhancements and is much better than most .
"On February 28 , 2008 the Associated Press reported that the Saint Paul Police Department adopted new guidelines for the investigation of groups who exercise free-speech rights .","On February 28 , 2008 the Associated Press reported that the Saint Paul Police Department adopted new guidelines for the investigation of protest groups .","On February 28 , 2008 the Associated Press reported that the Saint Paul Police Department adopted new guidelines for the investigation of groups who exercise free-speech rights ."
"Atlantic salmon and brown trout are widespread species , but most of the other suggested taxa are narrowly distributed forms endemic to single watersheds .","Atlantic salmon and brown trout are widespread species , while most of the other taxa are narrowly distributed forms endemic to single watersheds .","Atlantic salmon and brown trout are widespread species , but most of the other suggested taxa are narrowly distributed forms endemic to single watersheds ."
"A European Union investigation claimed that the conflict began with a large-scale Georgian military operation against Tskhinvali , but noted that "" a violent conflict had already been going on before in South Ossetia "" and Georgian offensive was a "" not proportionate "" response to pre-war South Ossetian attacks .","A European Union investigation stated that the conflict began with a large-scale Georgian military operation against Tskhinvali , but noted that "" a violent conflict had already been going on before in South Ossetia "" and Georgian offensive was a "" not proportionate "" response to pre-war South Ossetian attacks .","A European Union investigation claimed that the conflict began with a large-scale Georgian military operation against Tskhinvali , but noted that "" a violent conflict had already been going on before in South Ossetia "" and Georgian offensive was a "" not proportionate "" response to pre-war South Ossetian attacks ."
"However , to say one 's accounts are "" in the black "" is used to mean that one is free of debt ( a very positive thing in a capitalist society ) ; being "" in the red "" is to be in debt—because in traditional bookkeeping , negative amounts were printed in red ink ( such as losses ) and positive amounts ( such as profits ) were printed in black ink .","However , to say one 's accounts are "" in the black "" is used to mean that one is free of debt ; being "" in the red "" is to be in debt—because in traditional bookkeeping , negative amounts were printed in red ink ( such as losses ) and positive amounts ( such as profits ) were printed in black ink .","However , to say one 's accounts are "" in the black "" is used to mean that one is free of debt ( a very positive thing in a capitalist society ) ; being "" in the red "" is to be in debt—because in traditional bookkeeping , negative amounts were printed in red ink ( such as losses ) and positive amounts ( such as profits ) were printed in black ink ."
This article is about the EXCELLENT British radio presenter Steve Allen .,This article is about the veteran British radio presenter Steve Allen .,This article is about the British radio presenter Steve Allen .
"This reflects Microsoft 's emphasis on Publisher as an easy to use and less expensive alternative to the "" heavyweights "" and also its focus on the small business market where firms do not have dedicated design professionals available to make marketing materials and other documents , quite frankly it 's rubbish .","This reflects Microsoft 's emphasis on Publisher as an easy to use and less expensive alternative to the "" heavyweights "" and also its focus on the small business market where firms do not have dedicated design professionals available to make marketing materials and other documents .","This reflects Microsoft 's emphasis on Publisher as an easy to use and less expensive alternative to the "" heavyweights "" and also its focus on the small business market where firms do not have dedicated design professionals available to make marketing materials and other documents ."
"It is necessary for projects like Burj Dubai to be built in the city , so that Dubai can get more recognition in the outside world .","According to officials , it is necessary for projects like Burj Dubai to be built in the city , so that Dubai can get more recognition in the outside world .","It is necessary for projects like Burj Dubai to be built in the city , so that Dubai can get more recognition in the outside world ."
"Under the charismatic chairmanship of Toby Gilliat Brown - grandson of Sidney Gilliat - this very successful club has played its way up the hockey league winning successive promotions over nine seasons , and a host of other silverware including the famous inter-county "" Bent-Stick "" trophy earning them a well-deserved nick-name from an envious and at times jealous Devizes RUFC of "" Benders "" .","Under the charismatic chairmanship of Toby Gilliat Brown - grandson of Sidney Gilliat - this very successful club has played its way up the hockey league winning successive promotions over nine seasons , and a host of other silverware including the famous inter-county "" Bent-Stick "" trophy earning them a well-deserved nick-name from Devizes RUFC of "" Benders "" .","Under the chairmanship of Toby Gilliat Brown - grandson of Sidney Gilliat - this very successful club has played its way up the hockey league winning successive promotions over nine seasons , and a host of other silverware including the famous inter-county "" Bent-Stick "" trophy earning them a well-deserved nick-name from an envious and at times jealous Devizes RUFC of "" Benders "" ."
"On 5 June 2009 , he was appointed to the position of Home Secretary during a turbulent reshuffle , replacing the first ever female holder of the post , Jacqui Smith .","On 5 June 2009 , he was appointed to the position of Home Secretary during a reshuffle , replacing the first ever female holder of the post , Jacqui Smith .","On 5 June 2009 , he was appointed to the position of Home Secretary during a reshuffle , replacing the first ever female holder of the post , Jacqui Smith ."
"The president of the Republic of Maldives for the past 25 years , and hopefully the rest of this millennium .",Maumoon Abdul Gayoon has been the president of the Republic of Maldives for the past 25 years .,"The president of the Republic of Maldives for the past 25 years , and hopefully the rest of this millennium ."
"In its assessments of the impact of development on the environment , the 'shrinking ' of the world through travel and tourism and the consequent emergence of a form of 'monoculture ' , Tristes Tropiques seems remarkably prescient .","Lvi-Strauss provides assessments of the impact of development on the environment , the 'shrinking ' of the world through travel and tourism and the consequent emergence of a form of 'monoculture ' .","In its assessments of the impact of development on the environment , the 'shrinking ' of the world through travel and tourism and the consequent emergence of a form of 'monoculture ' , Tristes Tropiques seems remarkably prescient ."
"The community was founded in 1949 by immigrants to Israel from Hungary , on land belonging to the ethnically cleansed Palestinian village of Farradiyya .","The community was founded in 1949 by immigrants to Israel from Hungary , near the area of Farradiyya .","The community was founded in 1949 by immigrants to Israel from Hungary , on land belonging to the ethnically cleansed Palestinian village of Farradiyya ."
"At the time those words were written Guinness had never acknowledged anyone as having reached the age of 114 , but longevity has increased in recent years .","At the time those words were written Guinness had never acknowledged anyone as having reached the age of 114 , but longevity claims have increased in recent years .","At the time those words were written Guinness had never acknowledged anyone as having reached the age of 114 , but longevity has increased in recent years ."
"Democratic transhumanism is a strand of transhumanism that advocates both the right to use technology to transcend the limitations of the human body and the extension of democratic concerns beyond formal legal equality and liberty , into economic and cultural liberty and equality , in order to protect values such as equality , solidarity , and democratic participation in a transhuman context .","Democratic transhumanism is a strand of transhumanism that advocates both the use of technology to transcend the limitations of the human body and the extension of democratic concerns beyond formal legal equality and liberty , into economic and cultural liberty and equality , in order to protect democratic values in a transhuman context .","Democratic transhumanism is a strand of transhumanism that advocates both the right to use technology to transcend the limitations of the human body and the extension of democratic concerns beyond formal legal equality and liberty , into economic and cultural liberty and equality , in order to protect values such as equality , solidar You are provided with a linguistically biased sentence from a wikipedia article. Linguistic bias refers to the use of words, phrases, or structures that carry a subjective tone. Such biases can influence the reader's perception, making the text less neutral. Your task is to rephrase the given sentence to remove or neutralize the bias in such a way that most of its original meaning, content and structure is retained."
"With the story 's expansion into two films , Deathly Hallows is to be the most faithful adaptation to its source .","With the story 's expansion into two films , Deathly Hallows has been said to be the most faithful adaptation to its source .","With the story 's expansion into two films , Deathly Hallows is to be the most faithful adaptation to its source ."
"According to Mother Teresa 's bizarre philosophy , it is 'the most beautiful gift for a person that he can participate in the sufferings of Christ ' . ""","According to Mother Teresa 's philosophy , it is 'the most beautiful gift for a person that he can participate in the sufferings of Christ ' . ""","According to Mother Teresa 's philosophy , it is 'the most beautiful gift for a person that he can participate in the sufferings of Christ ' ."
Some Iranians have been sent to jail for insulting him .,Iranians have been sent to jail for criticizing him .,Some Iranians have been sent to jail for insulting him .
"On 22 March 2016 , two bombs were exploded by Islamic leaning terrorists at the airport , killing at least 14 people and injuring at least 92 .","On 22 March 2016 , two bombs were exploded at the airport , killing at least 14 people and injuring at least 92 .","On 22 March 2016 , two bombs were exploded by terrorists at the airport , killing at least 14 people and injuring at least 92 ."
"Starting with a brief summary of the consensus view prior to 1998 , and the first incarnation of the hockey stick graph , the book traces the history of the slow unraveling of that same graph .","Starting with a brief summary of the consensus view prior to 1998 , and the first incarnation of the hockey stick graph , the book traces the history of what Montford claims is the slow unraveling of that same graph .","Starting with a brief summary of the consensus view prior to 1998 , and the first incarnation of the hockey stick graph , the book traces the history of the slow unraveling of that same graph ."
"One of the most picturesque settings in all of college football , Kidd Brewer Stadium also stakes claim to being one of the toughest venues in the nation for a visiting team with the Mountaineers boasting a 215635 home record .","Kidd Brewer Stadium claims to be one of the toughest venues in the nation for a visiting team with the Mountaineers , boasting a 215635 home record .","One of the most picturesque settings in all of college football , Kidd Brewer Stadium also stakes claim to being one of the toughest venues in the nation for a visiting team with the Mountaineers boasting a 215635 home record ."
"In 1938 , following the Nazi destruction of Czechoslovakia , Poland controversially regained the rest of the town .","In 1938 , following the Munich agreement , Poland regained the rest of the town lost earlier .","In 1938 , following the Nazi destruction of Czechoslovakia , Poland controversially regained the rest of the town ."
"However , it is still , unfortuantely , regarded by many as an unofficial memorial to the late princess .","However , it is still regarded by many as an unofficial memorial to the late princess .","However , it is still , unfortunately , regarded by many as an unofficial memorial to the late princess ."
"The Daily Mail claimed that the EPI was "" controlled "" by MacShane 's Brother Edmund Matyjaszek , a claim which MacShane refuted ; "" The EPI was set up 20 years ago by a network of people on the Left working in Europe and the US ... Ed is my Brother , but simply administrates it .","A number of newspapers stated that the EPI was "" controlled "" by MacShane 's Brother Edmund Matyjaszek , a claim which MacShane denied ; "" The EPI was set up 20 years ago by a network of people on the Left working in Europe and the US ... Ed is my Brother , but simply administrates it .","The Daily Mail claimed that the EPI was "" controlled "" by MacShane 's Brother Edmund Matyjaszek , a claim which MacShane refuted ; "" The EPI was set up 20 years ago by a network of people on the Left working in Europe and the US ... Ed is my Brother , but simply administrates it ."
New York is the greatest state in the northeastern United States .,New York is a state in the northeastern United States .,New York is a state in the northeastern United States .
"Born in Tullaroan , County Kilkenny , Coogan first excelled at hurling during his schooling at St. Kieran 's College .","Born in Tullaroan , County Kilkenny , Coogan first played competitive hurling during his schooling at St. Kieran 's College .","Born in Tullaroan , County Kilkenny , Coogan first excelled at hurling during his schooling at St. Kieran 's College ."
Military casualties on the NATO side were remarkably light — the alliance suffered light fatalities as a result of combat operations .,Military casualties on the NATO side were remarkably light — according to official reports the alliance suffered no fatalities as a result of combat operations .,Military casualties on the NATO side were light — the alliance suffered light fatalities as a result of combat operations .
"Harper noted that Fortier would be appointed to the Senate of Canada to alleviate the issue of accountability of a non-parliamentarian minister instead of following the conventional route of having him run in a by-election to legitimize his place in the government , although in some democracies , such as the United States , the entire cabinet is unelected .",Harper noted that Fortier would be appointed to the Senate of Canada to alleviate the issue of accountability of a non-parliamentarian minister instead of following the conventional route of having him run in a by-election to legitimize his place in the government .,"Harper noted that Fortier would be appointed to the Senate of Canada to alleviate the issue of accountability of a non-parliamentarian minister instead of following the conventional route of having him run in a by-election to legitimize his place in the government , although in some democracies , such as the United States , the entire cabinet is unelected ."
The Kashmir Railway is a railway line being built in India to connect the state of Jammu and Kashmir with the rest of the country .,The Kashmir Railway is a railway line being built in India to connect the Indian administered state of Jammu and Kashmir with the rest of the country .,The Kashmir Railway is a railway line being built in India to connect the state of Jammu and Kashmir with the rest of the country .
"The class struggle during the Cultural Revolution in China encouraged peasants to violate the "" human "" "" rights "" of the landlords who were among the Five Black Categories and Stinking Old Ninth , hence the name dou dizhu .","The class struggle during the Cultural Revolution in China encouraged peasants to take up arms against the landlords who were among the Five Black Categories and Stinking Old Ninth , hence the name dou dizhu .","The class struggle during the Cultural Revolution in China encouraged peasants to violate the "" human "" "" rights "" of the landlords who were among the Five Black Categories and Stinking Old Ninth , hence the name dou dizhu ."
"However the ships of this class would be very useful in dealing with Russia 's near abroad as Russian Navy Commander Admiral Vladimir Vysotskiy said of the invasion of Georgia , A ship like that would have allowed the Black Sea Fleet to accomplish its mission in 40 minutes , not 26 hours , which is how long it took us .","However the ships of this class would be very useful in dealing with Russia 's near abroad as Russian Navy Commander Admiral Vladimir Vysotskiy said of the war with Georgia , A ship like that would have allowed the Black Sea Fleet to accomplish its mission in 40 minutes , not 26 hours , which is how long it took us .","However the ships of this class would be very useful in dealing with Russia 's near abroad as Russian Navy Commander Admiral Vladimir Vysotskiy said of the invasion of Georgia , A ship like that would have allowed the Black Sea Fleet to accomplish its mission in 40 minutes , not 26 hours , which is how long it took us ."
"State Route 262 , more commonly known as Mission Boulevard , is a very short unremarkable , but vitally important highway in the San Francisco Bay Area .","State Route 262 , more commonly known as Mission Boulevard , is a very short state highway that connects two Interstate highway s in the San Francisco Bay Area .","State Route 262 , more commonly known as Mission Boulevard , is a very short unremarkable , but important highway in the San Francisco Bay Area ."
"The indictment was particularly suspect because it came only after Tobin was acquitted in New Hampshire , and just weeks before the five year statute of limitations would expire .","The indictment came only after Tobin was acquitted in New Hampshire , and just weeks before the five year statute of limitations would expire .","The indictment was particularly suspect because it came only after Tobin was acquitted in New Hampshire , and just weeks before the five year statute of limitations would expire ."
The trip was organised every year to allow mid-western Germans to visit the fatherland .,The trip was organised every year to allow mid-western Germans to visit their homeland .,The trip was organised every year to allow mid-western Germans to visit the fatherland .
They cleverly matched and compared COMAL with BBC Structured Basic .,They matched and compared COMAL with BBC Structured Basic .,They matched and compared COMAL with BBC Structured Basic .
"Gonzales 's nomination angered some Bush supporters because some of his rulings as a Supreme Court justice in Texas could be considered pro- abortion , while many Republicans ( including Bush himself ) are against abortion .","Gonzales 's nomination angered some Bush supporters because some of his rulings as a Supreme Court justice in Texas could be considered pro- choice , while many Republicans ( including Bush himself ) are against abortion .","Gonzales 's nomination angered some Bush supporters because some of his rulings as a Supreme Court justice in Texas could be considered pro- abortion , while many Republicans ( including Bush himself ) are against abortion ."
Levin agrees with Arthur Jensen and Richard Lynn that white people score higher on IQ tests than black people due to genetic differencesa view that has been criticized by Leon Kamin .,Levin agrees with Arthur Jensen and Richard Lynn that white people score higher on IQ tests than black people due to genetic differencesa view that has been widely criticized .,Levin agrees with Arthur Jensen and Richard Lynn that white people score higher on IQ tests than black people due to genetic differencesa view that has been criticized by Leon Kamin .
"On 19 November 2005 , US Marine Lance Corporal Miguel Terrazas and a number of Iraqis were killed in Haditha after an alleged roadside bomb attack on soldiers from Kilo Company , 3rd Battalion , 1st Marines .","On 19 November 2005 , US Marine Lance Corporal Miguel Terrazas and a number of Iraqis were killed in Haditha after an roadside bomb attack on soldiers from Kilo Company , 3rd Battalion , 1st Marines .","On 19 November 2005 , US Marine Lance Corporal Miguel Terrazas and a number of Iraqis were killed in Haditha after an alleged roadside bomb attack on soldiers from Kilo Company , 3rd Battalion , 1st Marines ."
Move America Forward is a pro-American non profit political action group based in California in the United States .,"Move America Forward is a controversial , conservative non profit political action group based in California in the United States .",Move America Forward is a non profit political action group based in California in the United States .
"People with disabilities are excluded from cultural and social norms that afford pleasure ( sex , sex education , sexual health , marriage ) .","People with disabilities are often excluded from cultural and social norms that afford pleasure ( sex , sex education , sexual health , marriage ) .","People with disabilities are excluded from cultural and social norms that afford pleasure ( sex , sex education , sexual health , marriage ) ."
"At the tender age of 17 , Makaridze established himself as a great prospect and starter for the Georgia national football team along with other teenagers such as Levan Kenia and Levan Mchedlidze .","At age of 17 , Makaridze established himself as a great prospect and starter for the Georgia national football team along with other teenagers such as Levan Kenia and Levan Mchedlidze .","At the tender age of 17 , Makaridze established himself as a great prospect and starter for the Georgia national football team along with other teenagers such as Levan Kenia and Levan Mchedlidze ."
Jones 's appointment has has been criticized by controversial Fox News commentator Glenn Beck .,Jones 's appointment has has been criticized by Fox News commentator Glenn Beck .,Jones 's appointment has been criticized by controversial Fox News commentator Glenn Beck .
"Vladimir Lossky , a noted modern Eastern Orthodox theologian , notes the difference in East and West is due to the Roman Catholic Church 's use of pagan metaphysical philosophy ( and scholasticism ) rather then actual experience of God called theoria , to validate the theological dogmas of Roman Catholic Christianity .","Vladimir Lossky , a noted modern Eastern Orthodox theologian , argues the difference in East and West is due to the Roman Catholic Church 's use of pagan metaphysical philosophy ( and scholasticism ) rather then actual experience of God called theoria , to validate the theological dogmas of Roman Catholic Christianity .","Vladimir Lossky , a noted modern Eastern Orthodox theologian , notes the difference in East and West is due to the Roman Catholic Church 's use of metaphysical philosophy ( and scholasticism ) rather then actual experience of God called theoria , to validate the theological dogmas of Roman Catholic Christianity ."
"Private consulting firms , such as Ernst & Young , KPMG , PricewaterhouseCoopers , and Deloitte , are increasingly being contracted by development agencies and philanthropic organisations to manage and implement elements of their aid program , due to their independence and ability to perform higher quality program management and delivery often in fragile and post-conflict states .","Private consulting firms , such as Ernst & Young , KPMG , PricewaterhouseCoopers , and Deloitte , are increasingly interested in being contracted by development agencies and philanthropic organisations to manage and implement elements of their aid program .","Private consulting firms , such as Ernst & Young , KPMG , PricewaterhouseCoopers , and Deloitte , are increasingly being contracted by development agencies and philanthropic organisations to manage and implement elements of their aid program , due to their independence and ability to perform higher quality program management and delivery often in fragile and post-conflict states ."
"Someone who attacks and/or kills a defenceless person is also considered a coward , such as the perpetrators of the September 11 , 2001 attacks .",Someone who attacks and/or kills a defenceless person is also considered a coward .,"Someone who attacks and/or kills a defenceless person is also considered a coward , such as the perpetrators of the September 11 , 2001 attacks ."
"Arattupuzha is a culturally significant village located in Thrissur district of Kerala in southern India , and is home to the annual Arattupuzha Pooram that stages the grand spectacle of scores of caparisoned elephants lined up in a row to the accompaniment of ethnic percussion concerts .","Arattupuzha is a located in Thrissur district of Kerala in southern India , and is home to the annual Arattupuzha Pooram that stages the grand spectacle of scores of caparisoned elephants lined up in a row to the accompaniment of ethnic percussion concerts .","Arattupuzha is a culturally significant village located in Thrissur district of Kerala in southern India , and is home to the annual Arattupuzha Pooram that stages the grand spectacle of scores of caparisoned elephants lined up in a row to the accompaniment of ethnic percussion concerts ."
"By coincidence , USAF Captain Edward J. Ruppelt , the supervisor of the Air Force 's Project Blue Book investigation into the UFO mystery , was in Washington at the time .","By coincidence , USAF Captain Edward J. Ruppelt , the supervisor of the Air Force 's Project Blue Book investigation into UFO sightings , was in Washington at the time .","By coincidence , USAF Captain Edward J. Ruppelt , the supervisor of the Air Force 's Project Blue Book investigation into the UFO mystery , was in Washington at the time ."
"Gopinath Bordoloi ( 1890 1950 ) was the first Chief Minister of the Indian state of Assam , and also a leading Indian freedom-fighter .","Gopinath Bordoloi ( 1890 1950 ) was the first Chief Minister of the Indian state of Assam , and also a leading Indian independence activist .","Gopinath Bordoloi ( 1890 1950 ) was the first Chief Minister of the Indian state of Assam , and also a freedom-fighter ."
"Portloe is a beautiful small village in Cornwall , England .","Portloe is a small village in Cornwall , England .","Portloe is a small village in Cornwall , England ."
